"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/13/2013","Heavenly Sports","HEAVENLY SPORTS BOULSTATELINE00012577008 775-586-2390 320130130018594464","49.04","debit","Vacation","Blue Cash","",""
"1/13/2013","Amazon","Amazon Digital Svcs","7.53","debit","Music","Amazon.com Rewards Card","",""
"1/13/2013","Amazon","Amazon Digital Svcs","5.00","debit","Music","Amazon.com Rewards Card","",""
"1/13/2013","76","76 00045856","3.83","debit","Fast Food","Chase Sapphire Preferred","",""
"1/12/2013","Safeway","SAFEWAY STORE  1824 SOUTH LAKEGROCERY STORE 320130120007761906","15.85","debit","Vacation","Blue Cash","",""
"1/12/2013","Safeway","SAFEWAY STORE  1824 SOUTH LAKEGROCERY STORE 320130120007761904","87.58","debit","Vacation","Blue Cash","",""
"1/12/2013","REI","REI #83 83          SAN FRANCIS4159341938 320130120007761905","27.50","debit","Sporting Goods","Blue Cash","","lift ticket, minus refund for goggles"
"1/11/2013","REI","REI #83 83          SAN FRANCIS4159341938 320130110494686394","282.68","debit","Sporting Goods","Blue Cash","",""
"1/11/2013","24 Hour Fitness","24HOUR FITNESS USA  800-432-634D0158044490 GYMMEMBERSHP 320130110494686393","29.99","debit","Gym","Blue Cash","",""
"1/11/2013","Apexcone Ddm Tuning","APEXCONE DDM TUNING 858633202067019816    DIRECT MKTG MISC 320130110494686392","64.11","debit","Service & Parts","Blue Cash","",""
"1/11/2013","Sports Basement","SPORTS BASEMENT 0097SAN FRANCIS28820572    800-869-6670 320130110494686391","142.04","debit","Sporting Goods","Blue Cash","",""
"1/11/2013","Fastrak","FASTRAK REBILL      SAN FRANCISB7043224154 8772298655 320130110497720778","25.00","debit","Auto & Transport","Blue Cash","",""
"1/10/2013","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","2121.13","credit","Credit Card Payment","Chase Sapphire Preferred","",""
"1/10/2013","Pacific Gas & Electric","WITHDRAW PACIFIC GAS/ELECONLINE PMT130110","37.35","debit","Utilities","Free Checking","",""
"1/09/2013","Shanghai Restaurant","SHANGHAI RESTAURANT","70.90","debit","Restaurants","Chase Sapphire Preferred","",""
"1/09/2013","McDonald's","MCDONALD'S F17728","7.49","debit","Fast Food","Chase Sapphire Preferred","",""
"1/08/2013","Clipper","CLIPPER SERVICE 877-878-8883 CA C_OTHERTRAVEL","50.00","debit","Public Transportation","Platinum MasterCard","",""
"1/08/2013","Just For You","JUST FOR YOU CAFE INC","37.49","debit","Restaurants","Chase Sapphire Preferred","",""
"1/07/2013","DMV","ST OF CALIF DMV-INTESACRAMENTO071038885   916-657-8943 320130070442845843","95.00","debit","Licensing","Blue Cash","",""
"1/07/2013","Target","TARGET T2766 2766   SAN FRANCIS00722990    DISCOUNT STORE 320130070442845844","37.18","debit","Home Supplies","Blue Cash","",""
"1/07/2013","Safeway","SAFEWAY STORE  2606 SAN FRANCISGROCERY STORE 320130070442845841","85.47","debit","Groceries","Blue Cash","",""
"1/07/2013","DMV","ST OF CALIF DMV-INTESACRAMENTO071037593   916-657-8943 320130070442845842","203.00","debit","Licensing","Blue Cash","",""
"1/07/2013","Chevron","CHEVRON PATRICK AND SAN FRANCIS8370340     4158267290 320130070442845840","27.66","debit","Gas & Fuel","Blue Cash","",""
"1/07/2013","Chabot Gun Club","CHABOT GUN CLUB","14.00","debit","Sports","Chase Sapphire Preferred","",""
"1/07/2013","Pollo","POLLO CAMPERO 0029","10.09","debit","Restaurants","Chase Sapphire Preferred","",""
"1/07/2013","San Francisco Maz","SAN FRANCISCO MAIN LIBRAR","15.80","debit","Non-Charity Donation","Chase Sapphire Preferred","",""
"1/07/2013","Deposit Pc Deposit","DEPOSIT PC DEPOSIT: REF # 4652957","180.00","credit","Income","Free Checking","",""
"1/06/2013","Lowe's","LOWE'S OF SAN FRANCISAN FRANCISINV # 06283 415-486-8611 320130060431480173","14.73","debit","Home Improvement","Blue Cash","",""
"1/04/2013","Amazon","Amazon.com","267.48","debit","Electronics & Software","Amazon.com Rewards Card","","replace NAS hard drives"
"1/03/2013","Check 7006","SH DRAFT 7006","2400.00","debit","Mortgage & Rent","Free Checking","",""
"1/03/2013","Dnc Travel Atlan","DNC TRAVEL - ATLAN","16.03","debit","Restaurants","Chase Sapphire Preferred","",""
"1/02/2013","Transfer Mbr Acct","TRANSFER FROM MBR 48727 ACCT 5 01/02/2013 14:10 #642371. Daytime Running Lights","125.00","credit","Gift Received","Free Checking","",""
"1/01/2013","Brownells","BROWNELLS INC BROWNEMONTEZUMA50E1907957D 641-6235401 320130010368443104","47.35","debit","Christmas Gift","Blue Cash","",""
"12/31/2012","ATM Fee Refund","DEPOSIT ATM Surcharge Refund","2.42","credit","ATM Fee","Savings Account","",""
"12/31/2012","Dividend","DIVIDEND","0.02","credit","Dividend & Cap Gains","Savings Account","",""
"12/31/2012","Dividend","DIVIDEND","6.74","credit","Dividend & Cap Gains","Money Market","",""
"12/31/2012","American Express","WITHDRAW AMEX EPayment ACH PMT 121229","969.79","debit","Credit Card Payment","Free Checking","",""
"12/31/2012","Dividend","DIVIDEND","2.49","credit","Dividend & Cap Gains","7M Regular Certificate","",""
"12/30/2012","Com Mex P","COM MEX P DEL CARMEN","7.71","debit","Restaurants","Chase Sapphire Preferred","",""
"12/29/2012","Transfer from Free Checking","AUTOPAY PAYMENT - THANK YOU 320123640332398028","969.79","credit","Credit Card Payment","Blue Cash","",""
"12/28/2012","D Ciao Clt","D CIAO CLT    12205456","11.78","debit","Restaurants","Chase Sapphire Preferred","",""
"12/27/2012","McDonald's","MCDONALD'S F31378","6.30","debit","Fast Food","Chase Sapphire Preferred","",""
"12/26/2012","Gap","GAP #2269/THE GAP #2MARLBOROUGH22690002622 MEN'S/WOMEN'S CLOTHNG 320123610293478843","40.00","debit","Clothing","Blue Cash","",""
"12/26/2012","Withdraw ATM Banco","WITHDRAW ATM 1226 1552 588774 BANCO SANTANDE/ BENITO JUAREZ","79.82","debit","Cash & ATM","Free Checking","",""
"12/26/2012","Progressive","WITHDRAW PROG DIRECT INS INS PREM 121226","28.92","debit","Motorcycle","Free Checking","",""
"12/26/2012","Account Maintenance Fee","FEE ATM 1226 1552 588774 BANCO SANTANDE/ BENITO JUAREZ NETWORK SERVICE CHARGE $1.55","1.55","debit","Bank Fee","Free Checking","",""
"12/25/2012","Harry and David","HARRY AND DAVID #315MARLBOROUGH12240315799 999-000-0000 320123600286622142","12.95","debit","Christmas Gift","Blue Cash","",""
"12/25/2012","Comcast","COMCAST CALIFORNIA  800-COMCAST81552000160 CABLE SVCS 320123600286622141","87.21","debit","Internet","Blue Cash","",""
"12/24/2012","Transfer to Amazon.com Rewards Card","WITHDRAW CHASE AUTOPAY 121221","659.09","debit","Credit Card Payment","Free Checking","",""
"12/21/2012","Amazon","Amazon.com","144.98","debit","Christmas Gift","Amazon.com Rewards Card","",""
"12/21/2012","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","659.09","credit","Credit Card Payment","Amazon.com Rewards Card","",""
"12/21/2012","Willow Creek Grille","WILLOW CREEK GRILLE T3","13.89","debit","Restaurants","Chase Sapphire Preferred","",""
"12/20/2012","Restaurant Eiji","RESTAURANT EIJI","132.57","debit","Restaurants","Chase Sapphire Preferred","",""
"12/19/2012","Apple","APPLE STORE 75      SAN FRANCISR0755837276 COMPUTER STORE 320123540193991688","107.42","debit","Christmas Gift","Blue Cash","",""
"12/19/2012","Deposit Bank America","DEPOSIT BANK OF AMERICA FNDTRNSFR 121219","900.00","credit","Income","Free Checking","",""
"12/18/2012","Bloomingdale's","BLOOMINGDALES 022006SAN FRANCIS02200670043 BLOOMINGDALE'S 320123530178097239","7.68","debit","Christmas Gift","Blue Cash","",""
"12/18/2012","Uniqlo Powell","UNIQLO POWELL ST US0SAN FRANCIS40800001    877-486-4756 320123530178097238","75.94","debit","Christmas Gift","Blue Cash","",""
"12/18/2012","Bath & Body Works","BATH & BODY WORKS 22SAN FRANCIS2856        415-618-0230 320123530178097237","20.08","debit","Christmas Gift","Blue Cash","",""
"12/18/2012","Target","TARGET T2766 2766   SAN FRANCIS00823931    DISCOUNT STORE 320123530178097240","36.82","debit","Home Supplies","Blue Cash","",""
"12/18/2012","Amazon","Amazon.com","27.98","debit","Christmas Gift","Amazon.com Rewards Card","",""
"12/18/2012","Korean Restaurant","K-POP KOREAN RESTAURANT","43.81","debit","Restaurants","Chase Sapphire Preferred","",""
"12/18/2012","Withdraw Capital One","WITHDRAW CAPITAL ONE CRCARDPMT","50.00","debit","Credit Card Payment","Free Checking","",""
"12/17/2012","Whole Foods","WHOLEFDS SOM 10151 04156180066042604490094156180066 320123520161624285","30.76","debit","Groceries","Blue Cash","",""
"12/17/2012","Amazon","Amazon.com","69.49","debit","Christmas Gift","Amazon.com Rewards Card","",""
"12/17/2012","Amazon","Amazon.com","17.70","debit","Christmas Gift","Amazon.com Rewards Card","",""
"12/17/2012","Papalote Mexican Grill","PAPALOTE MEXICAN GRILL","22.08","debit","Restaurants","Chase Sapphire Preferred","",""
"12/17/2012","Transfer from Free Checking","CAPITAL ONE AUTOPAY PYMT AuthDate 22-NOV","50.00","credit","Credit Card Payment","Platinum MasterCard","",""
"12/16/2012","Target","TARGET T2766 2766   SAN FRANCIS00716873    DISCOUNT STORE 320123510148166005","22.55","debit","Shopping","Blue Cash","",""
"12/16/2012","Amazon","Amazon.com","25.74","debit","Christmas Gift","Amazon.com Rewards Card","",""
"12/16/2012","Amazon","AMAZON MKTPLACE PMTS","52.04","debit","Christmas Gift","Amazon.com Rewards Card","",""
"12/16/2012","Amazon","Amazon.com","14.99","debit","Christmas Gift","Amazon.com Rewards Card","",""
"12/16/2012","Una Pizza Napoletana","UNA PIZZA NAPOLETANA LLC","64.25","debit","Restaurants","Chase Sapphire Preferred","",""
"12/16/2012","AMC","AMC VAN NESS  04004347","9.50","debit","Movies & DVDs","Chase Sapphire Preferred","",""
"12/16/2012","Phoenix","PHOENIX IRISH BAR","19.00","debit","Alcohol & Bars","Chase Sapphire Preferred","",""
"12/15/2012","Netflix","NETFLIX NONE        LOS GATOS2648523280  NONE 320123500134178477","5.41","debit","Movies & DVDs","Blue Cash","",""
"12/14/2012","Wells Fargo","WITHDRAW WELLS FARGO DLR DRAFT 121214","357.60","debit","Auto Payment","Free Checking","",""
"12/14/2012","Cowgirl Creamery Artisan","COWGIRL CREAMERY","8.41","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"12/13/2012","Deposit Bank America","DEPOSIT BANK OF AMERICA FNDTRNSFR 121212","250.00","credit","Income","Free Checking","",""
"12/12/2012","Union 76","UNION 76 00463232   BELMONT152907      UNION 76 320123470086652420","39.44","debit","Gas & Fuel","Blue Cash","",""
"12/11/2012","Pacific Gas & Electric","WITHDRAW PACIFIC GAS/ELECONLINE PMT121211","40.12","debit","Utilities","Free Checking","",""
"12/11/2012","Transfer to Chase Sapphire Preferred","WITHDRAW CHASE AUTOPAY 121210","986.25","debit","Credit Card Payment","Free Checking","",""
"12/11/2012","House Of Prime Rib","HOUSE OF PRIME RIB","125.52","debit","Restaurants","Chase Sapphire Preferred","",""
"12/11/2012","Spice Kit","SPICE KIT","27.58","debit","Restaurants","Chase Sapphire Preferred","",""
"12/10/2012","24 Hour Fitness","24HOUR FITNESS USA  800-432-634D0158044490 GYMMEMBERSHP 320123450056828661","29.99","debit","Gym","Blue Cash","",""
"12/10/2012","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","986.25","credit","Credit Card Payment","Chase Sapphire Preferred","",""
"12/10/2012","Spices II","SPICES II","64.45","debit","Restaurants","Chase Sapphire Preferred","",""
"12/10/2012","Traditions","TRADITION","50.71","debit","Alcohol & Bars","Chase Sapphire Preferred","",""
"12/09/2012","Admissions","SFMOMA ADMISSIONS   SAN FRANCIS529544      CHARITABLE ORG 320123440043736953","18.00","debit","Education","Blue Cash","",""
"12/08/2012","Walgreens","WALGREENS #4275 0000SAN FRANCIS99999992343 8002892273 320123430030567982","7.49","debit","Home Supplies","Blue Cash","",""
"12/06/2012","Whole Foods","WHOLEFDS SOM 10151 0SAN FRANCIS04250449012 4156180066 320123410000776623","22.88","debit","Groceries","Blue Cash","",""
"12/06/2012","Amazon Video","Amazon Video On Demand","1.99","debit","Movies & DVDs","Amazon.com Rewards Card","",""
"12/06/2012","Amazon","Amazon.com","220.25","debit","Birthday Gift","Amazon.com Rewards Card","",""
"12/06/2012","Amazon Video","Amazon Video On Demand","1.99","debit","Movies & DVDs","Amazon.com Rewards Card","",""
"12/06/2012","Amazon","AMAZON MKTPLACE PMTS","9.29","debit","Home Supplies","Amazon.com Rewards Card","",""
"12/06/2012","B Cpk Clt","B CPK CLT     12203204","10.27","debit","Fast Food","Chase Sapphire Preferred","",""
"12/05/2012","Legal Seafoods","LEGAL SEA FOODS #011","25.63","debit","Restaurants","Chase Sapphire Preferred","",""
"12/04/2012","Transfer Mbr Acct","TRANSFER FROM MBR 48727 ACCT 5 12/03/2012 22:41 206720. tickets","770.00","credit","Transfer","Free Checking","",""
"12/04/2012","Amazon","AMAZON.COM          AMZN.COM/BIYPWY8RXQQVS DIRECT MKTG MISC 320123390471506955","8.11","credit","Shopping","Blue Cash","",""
"11/30/2012","Dividend","DIVIDEND","0.02","credit","Investments","Savings Account","",""
"11/30/2012","Dividend","DIVIDEND","6.52","credit","Investments","Money Market","",""
"11/30/2012","Dividend","DIVIDEND","2.41","credit","Investments","7M Regular Certificate","",""
"11/30/2012","Tomokazu Japanese Cuisine","Tomokazu Japanese Cuisine","16.67","debit","Restaurants","Chase Sapphire Preferred","",""
"11/29/2012","American Express","WITHDRAW AMEX EPayment ACH PMT 121128","3633.22","debit","Credit Card Payment","Free Checking","",""
"11/28/2012","Target","TARGET T2766 2766   SAN FRANCIS00789291    DISCOUNT STORE 320123330383863628","59.51","debit","Shopping","Blue Cash","",""
"11/28/2012","Chevron","CHEVRON CSI-090087/1SAN FRANCIS8749374     4158633001 320123330383863626","43.41","debit","Gas & Fuel","Blue Cash","",""
"11/28/2012","Home Depot","THE HOME DEPOT 6603 E PALO ALTO11270660303 999-999-9999 320123330383863627","9.50","credit","Home Improvement","Blue Cash","",""
"11/28/2012","Autopay Thank You","AUTOPAY PAYMENT - THANK YOU 320123330387288519","3633.22","credit","Credit Card Payment","Blue Cash","",""
"11/28/2012","United","UNITED      0162347621336","537.10","debit","Reimbursed Expense","Chase Sapphire Preferred","",""
"11/28/2012","US Airways","USAIRWAYS   0372493515582","192.10","debit","Reimbursed Expense","Chase Sapphire Preferred","",""
"11/27/2012","Check 7005","SH DRAFT 7005","2400.00","debit","Mortgage & Rent","Free Checking","",""
"11/27/2012","McDonald's","MCDONALD'S F5294","12.60","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"11/27/2012","Progressive","WITHDRAW PROG DIRECT INS INS PREM 121127","28.92","debit","Auto Insurance","Free Checking","",""
"11/26/2012","Yosemite View Lodge","YOSEMITE VIEW LODGE EL PORTAL425105      LODGING 320123310354578716","24.10","debit","Hotel","Blue Cash","",""
"11/26/2012","FoodLand","CURRY VILLAGEFOODANDBE","29.90","debit","Groceries","Chase Sapphire Preferred","",""
"11/26/2012","Valero","VALERO 3617","27.59","debit","Gas & Fuel","Chase Sapphire Preferred","",""
"11/26/2012","Ernas Elderberry Hous","ERNAS ELDERBERRY HOUS","260.35","debit","Restaurants","Chase Sapphire Preferred","",""
"11/25/2012","Raley's","RALEY'S #340 5429298OAKHURST124001102   5596838300 320123300341298114","19.18","debit","Groceries","Blue Cash","",""
"11/25/2012","Comcast","COMCAST CALIFORNIA  800-COMCAST81552000160 CABLE SVCS 320123300341298115","87.21","debit","Internet","Blue Cash","",""
"11/25/2012","Ahwahnee Food Bev","AHWAHNEE FOOD AND BEV","126.17","debit","Restaurants","Chase Sapphire Preferred","",""
"11/25/2012","Priest Station Cafe","PRIEST STATION CAFE AND S","35.45","debit","Restaurants","Chase Sapphire Preferred","",""
"11/25/2012","Yosemite Np Big","YOSEMITE NP-BIG OAK FLAT","40.00","debit","Amusement","Chase Sapphire Preferred","",""
"11/24/2012","Chevron","CHEVRON YOSEMITE CONYOSEMITE NT1560828     0000000000 320123290328767058","23.45","debit","Gas & Fuel","Blue Cash","",""
"11/23/2012","Whole Foods","WHOLEFDS SOM 10151 04156180066042204490054156180066 320123280316034265","33.79","debit","Groceries","Blue Cash","",""
"11/23/2012","Transfer to Amazon.com Rewards Card","WITHDRAW CHASE AUTOPAY 121121","85.68","debit","Credit Card Payment","Free Checking","",""
"11/22/2012","Richmond New May Wah","RICHMOND NEW MAY WAHSAN FRANCIS000031882   4153799088 320123270307195135","29.94","debit","Groceries","Blue Cash","",""
"11/21/2012","Union 76","UNION 76 00246876   BURLINGAME114842      UNION 76 320123260292135800","24.44","debit","Gas & Fuel","Blue Cash","",""
"11/21/2012","Safeway","SAFEWAY STORE  2606 SAN FRANCISGROCERY STORE 320123260292135801","72.24","debit","Groceries","Blue Cash","",""
"11/21/2012","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","85.68","credit","Credit Card Payment","Amazon.com Rewards Card","",""
"11/21/2012","Chipotle","CHIPOTLE 0934","7.25","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"11/20/2012","Cafe Flore","CAFE FLORE INC","10.00","debit","Restaurants","Chase Sapphire Preferred","",""
"11/19/2012","Fastrak","FASTRAK REBILL      SAN FRANCISB7042144518 8772298655 320123240261974016","25.00","debit","Auto & Transport","Blue Cash","",""
"11/19/2012","Ad Hoc","AD HOC","21.01","debit","Restaurants","Chase Sapphire Preferred","",""
"11/19/2012","Campton Place","CAMPTON PLACE-F&B","400.00","debit","Restaurants","Chase Sapphire Preferred","",""
"11/19/2012","Bouchon Bakery","Bouchon Bakery","15.25","debit","Restaurants","Chase Sapphire Preferred","",""
"11/19/2012","Bouchon Bakery","Bouchon Bakery","5.50","debit","Restaurants","Chase Sapphire Preferred","",""
"11/19/2012","PayPal","WITHDRAW PAYPAL INST XFER 121116","76.97","debit","Shopping","Free Checking","",""
"11/17/2012","IKEA","IKEA EAST PALO ALTO EAST PALO A00087262    650-323-4532 320123220237852755","99.56","debit","Furnishings","Blue Cash","",""
"11/17/2012","Home Depot","THE HOME DEPOT 6603 E PALO ALTO11160660336 999-999-9999 320123220237852754","20.62","debit","Home Improvement","Blue Cash","",""
"11/16/2012","Amazon","AMAZON.COM          AMZN.COM/BIYPWH7X9N778 MERCHANDISE 320123210222804807","10.84","debit","Electronics & Software","Blue Cash","",""
"11/16/2012","MCM Supply","MCM SUPPLY MCM SUPPLSAN FRANCIS022878231   808-396-9582 320123210222804806","271.25","debit","Gift","Blue Cash","",""
"11/16/2012","Amazon","Amazon.com","97.34","debit","Electronics & Software","Amazon.com Rewards Card","",""
"11/16/2012","Amazon","Amazon.com","340.98","debit","Electronics & Software","Amazon.com Rewards Card","",""
"11/16/2012","Chez Maman","CHEZ MAMAN WEST","51.40","debit","Restaurants","Chase Sapphire Preferred","",""
"11/15/2012","Amazon","AMAZON.COM          AMZN.COM/BIYPW933T9H6I MERCHANDISE 320123200208875918","10.07","debit","Shopping","Blue Cash","",""
"11/15/2012","Fry's Electronics","Fry's Electronics InPalo Alto0015814902  Fry's Electronics Inc 320123200208875917","36.69","credit","Electronics & Software","Blue Cash","",""
"11/15/2012","Netflix","NETFLIX NONE        LOS GATOS2602618076  NONE 320123200208875916","5.41","debit","Movies & DVDs","Blue Cash","",""
"11/15/2012","Fry's Electronics","Fry's Electronics InPalo Alto0015814973  Fry's Electronics Inc 320123200208875919","9.58","debit","Electronics & Software","Blue Cash","",""
"11/15/2012","Amazon","Amazon.com","97.34","debit","Shopping","Amazon.com Rewards Card","",""
"11/15/2012","Boston Beer","BOSTON BEER WR00000620","21.09","debit","Restaurants","Chase Sapphire Preferred","",""
"11/15/2012","Chipotle","CHIPOTLE 0839","7.54","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"11/15/2012","Deposit Pc Deposit","DEPOSIT PC DEPOSIT: REF # 4099457","1526.40","credit","Paycheck","Free Checking","",""
"11/15/2012","Doug Yung","DEPOSIT PC DEPOSIT: REF # 4099442","400.00","credit","Mobile Phone","Free Checking","","sold Doug my old  iPhone"
"11/15/2012","Deposit Pc Deposit","DEPOSIT PC DEPOSIT: REF # 4099461","6846.26","credit","Paycheck","Free Checking","",""
"11/14/2012","Wells Fargo","WITHDRAW WELLS FARGO DLR DRAFT 121114","357.60","debit","Auto Payment","Free Checking","",""
"11/13/2012","Transfer to Chase Sapphire Preferred","WITHDRAW CHASE AUTOPAY 121109","957.51","debit","Credit Card Payment","Free Checking","",""
"11/12/2012","Lori's Diner","LORI'S DINER #5","14.28","debit","Restaurants","Chase Sapphire Preferred","",""
"11/11/2012","AT&T Wireless","ATTM*609797604   NWSALPHARETTA14520537    800-331-0500 320123160155823744","270.84","debit","Mobile Phone","Blue Cash","",""
"11/11/2012","Pasta Moto","PASTA MOTO SAN00001305","26.64","debit","Restaurants","Chase Sapphire Preferred","",""
"11/10/2012","24 Hour Fitness","24HOUR FITNESS USA  800-432-634D0158044490 GYMMEMBERSHP 320123150143893931","29.99","debit","Gym","Blue Cash","",""
"11/09/2012","Apple","APPLE ONLINEUSA APPLCUPERTINO4157896324  APPLE ONLINE STORES 320123140130160367","1110.34","debit","Electronics & Software","Blue Cash","",""
"11/09/2012","Fry's Electronics","Fry's Electronics InSunnyvale0020415219  Fry's Electronics Inc 320123140130160366","36.69","debit","Electronics & Software","Blue Cash","",""
"11/09/2012","Wine & Spirits","SOMA WINE & SPIRITS","21.89","debit","Groceries","Chase Sapphire Preferred","",""
"11/09/2012","Transfer from Free Checking","AUTOMATIC PAYMENT - THANK","957.51","credit","Credit Card Payment","Chase Sapphire Preferred","",""
"11/08/2012","Gilt Groupe","GILT GROUPE         877-280-05449925590    877-280-0545 320123130116902018","52.95","debit","Clothing","Blue Cash","",""
"11/08/2012","Amica","AMICA INSURANCE APP 800-242-6420537417     INSURANCE 320123130116902017","151.94","debit","Financial","Blue Cash","",""
"11/08/2012","Shell","SHELL OIL 5744467810SAN FRANCIS0531566     AUTO FUEL DISPENSER 320123130116902019","37.98","debit","Gas & Fuel","Blue Cash","",""
"11/08/2012","Richmond New May Wah","RICHMOND NEW MAY WA","50.99","debit","Groceries","Chase Sapphire Preferred","",""
"11/08/2012","Pacific Gas & Electric","WITHDRAW PACIFIC GAS/ELECONLINE PMT121108","32.23","debit","Utilities","Free Checking","",""
"11/07/2012","Whole Foods","WHOLEFDS SOM 10151 04156180066042604490024156180066 320123120104852562","24.85","debit","Groceries","Blue Cash","",""
"11/06/2012","Farmer Brown","FARMER BROWN","54.43","debit","Restaurants","Chase Sapphire Preferred","",""
"11/05/2012","Smuggler's Cove","SMUGGLER'S COVE","52.00","debit","Alcohol & Bars","Chase Sapphire Preferred","",""
"11/04/2012","Nijiya Market","NIJIYA MARKET #62 00SAN FRANCIS14167196    3107874800 320123090066251792","64.07","debit","Groceries","Blue Cash","",""
"11/04/2012","Sq Soup Junkie","SQ *SOUP JUNKIE","15.00","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
"11/02/2012","Scandinavian Designs","SCANDINAVIAN DESIGNSSAN MATEO000007      650-340-0555 320123070041042127","1007.53","debit","Furnishings","Blue Cash","",""
"11/02/2012","Little Sichuan Restaurant","LITTLE SICHUAN RESTAURAN","50.65","debit","Restaurants","Chase Sapphire Preferred","",""
"11/02/2012","Pinkberry","PINKBERRY SAN FRANCISCO","8.45","debit","Restaurants","Chase Sapphire Preferred","",""
"10/31/2012","Full Spectrum Solutions","FULL SPECTRUM SOLUTI517-783-380127472      5177833800 320123050015080122","125.77","debit","Furnishings","Blue Cash","",""
"10/31/2012","Amazon","Amazon.com","19.87","debit","Sporting Goods","Amazon.com Rewards Card","",""
"10/31/2012","Amazon","Amazon.com","103.56","debit","Furnishings","Amazon.com Rewards Card","",""
"10/31/2012","Dividend","DIVIDEND","0.02","credit","Dividend & Cap Gains","Savings Account","",""
"10/31/2012","Dividend","DIVIDEND","6.74","credit","Dividend & Cap Gains","Money Market","",""
"10/31/2012","Deposit Trinet Payroll","DEPOSIT TRINET PAYROLL 121027","2486.73","credit","Paycheck","Free Checking","",""
"10/31/2012","Dividend","DIVIDEND","2.50","credit","Dividend & Cap Gains","7M Regular Certificate","",""
"10/30/2012","Tivo","TIVO INC. TIVO INC. 1-877-367-8652145700   www.tivo.com 320123040004039935","129.00","debit","Television","Blue Cash","",""
"10/30/2012","Transfer to Blue Cash","WITHDRAW AMEX EPayment ACH PMT 121029","1255.35","debit","Credit Card Payment","Free Checking","",""
"10/30/2012","Jangsu Jang","JANGSU JANG","23.15","debit","Restaurants","Chase Sapphire Preferred","",""
"10/29/2012","Transfer from Free Checking","AUTOPAY PAYMENT - THANK YOU 320123030495225349","1255.35","credit","Credit Card Payment","Blue Cash","",""
"10/29/2012","Chevron","CHEVRON CSI-092038/1SAN MATEO3885088     6505740752 320123030492347303","42.36","debit","Gas & Fuel","Blue Cash","",""
"10/29/2012","Sq Tpumps","SQ *TPUMPS","5.41","debit","Lunch Out at Work","Chase Sapphire Preferred","",""
